Reporting Starts,Reporting Ends,Ad Name,Delivery,Results,Result Indicator,Reach,Cost per Results,Amount Spent (USD),Website Conversions,Cost per Website Conversion (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)"
9/20/2011,4/25/2017,1. Full Swag - Love in the Air,inactive,10,actions:offsite_conversion.fb_pixel_purchase,13188,16.099,160.99,70,2.299857143,18017,8.935449853
9/20/2011,4/25/2017,1. Full Swag - Love in the Air,inactive,4,actions:offsite_conversion.fb_pixel_purchase,3892,20.695,82.78,21,3.941904762,5885,14.06627018
9/20/2011,4/25/2017,1. Full Swag - Love in the Air,inactive,29,actions:offsite_conversion.fb_pixel_purchase,1475,4.576206897,132.71,182,0.729175824,6286,21.11199491
9/20/2011,4/25/2017,1. Full Swag - Love in the Air,inactive,3,actions:offsite_conversion.fb_pixel_purchase,7660,28.38333333,85.15,26,3.275,8281,10.28257457
9/20/2011,4/25/2017,1. Full Swag - Love in the Air,inactive,18,actions:offsite_conversion.fb_pixel_purchase,2182,5.128888889,92.32,101,0.914059406,5873,15.71939384
9/20/2011,4/25/2017,1. Full Swag - Love in the Air,inactive,,,2313,,36.44,3,12.14666667,2611,13.95633857
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,3,actions:offsite_conversion.fb_pixel_purchase,11840,36.44666667,109.34,47,2.326382979,13535,8.078315478
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,17,actions:offsite_conversion.fb_pixel_purchase,1579,6.436470588,109.42,115,0.951478261,3920,27.91326531
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,4,actions:offsite_conversion.fb_pixel_purchase,6873,29.855,119.42,15,7.961333333,9844,12.13124746
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,3,actions:offsite_conversion.fb_pixel_purchase,4779,39.87333333,119.62,26,4.600769231,8566,13.96451086
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,17,actions:offsite_conversion.fb_pixel_purchase,1391,7.025294118,119.43,131,0.911679389,4621,25.84505518
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,4,actions:offsite_conversion.fb_pixel_purchase,4213,29.94,119.76,21,5.702857143,7638,15.67949725
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,8,actions:offsite_conversion.fb_pixel_purchase,9868,14.97,119.76,52,2.303076923,11608,10.31702274
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,5,actions:offsite_conversion.fb_pixel_purchase,12922,23.98,119.9,73,1.642465753,16085,7.454149829
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,5,actions:offsite_conversion.fb_pixel_purchase,4693,24.016,120.08,43,2.79255814,8453,14.20560748
9/20/2011,4/25/2017,4. Medal - Clouds,inactive,8,actions:offsite_conversion.fb_pixel_purchase,1726,5.67,45.36,50,0.9072,2725,16.64587156
9/20/2011,4/25/2017,"Post: ""Can you smell what FitFam is cookin'? The Pi Day...""",inactive,67,actions:post_engagement,694,0.373134328,25,79,0.316455696,1294,19.31993818
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,,,406,,9.04,,,417,21.67865707
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,2,actions:offsite_conversion.fb_pixel_purchase,4824,27.83,55.66,13,4.281538462,5335,10.43298969
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,,,1171,,54.82,10,5.482,1872,29.28418803
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,,,1595,,21.02,1,21.02,1608,13.0721393
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,,,1050,,21.85,,,1081,20.21276596
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,3,actions:offsite_conversion.fb_pixel_purchase,3690,18.42666667,55.28,28,1.974285714,3980,13.88944724
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,,,562,,10.82,,,564,19.18439716
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,1,actions:offsite_conversion.fb_pixel_purchase,1315,19.25,19.25,5,3.85,1329,14.48457487
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,1,actions:offsite_conversion.fb_pixel_purchase,514,18.25,18.25,8,2.28125,543,33.60957643
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,,,968,,16.52,2,8.26,970,17.03092784
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,,,456,,8.77,,,460,19.06521739
9/20/2011,4/25/2017,Full Swag - Last Chance,inactive,,,1216,,21.72,2,10.86,1285,16.90272374
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,3,actions:offsite_conversion.fb_pixel_purchase,4880,39.91333333,119.74,25,4.7896,8854,13.52383104
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,9,actions:offsite_conversion.fb_pixel_purchase,4449,14.88888889,134,54,2.481481481,8208,16.32553606
9/20/2011,4/25/2017,Full Swag - Start 2017,inactive,14,actions:offsite_conversion.fb_pixel_purchase,4514,10.04428571,140.62,154,0.913116883,10451,13.45517175
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,1,actions:offsite_conversion.fb_pixel_purchase,10203,109.15,109.15,23,4.745652174,12102,9.019170385
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,1,actions:offsite_conversion.fb_pixel_purchase,8544,134.29,134.29,16,8.393125,9742,13.78464381
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,16,actions:offsite_conversion.fb_pixel_purchase,1431,8.365625,133.85,101,1.325247525,5629,23.7786463
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,7,actions:offsite_conversion.fb_pixel_purchase,9340,19.15857143,134.11,36,3.725277778,10744,12.48231571
9/20/2011,4/25/2017,Full Swag - Start 2017,inactive,15,actions:offsite_conversion.fb_pixel_purchase,22164,14.79133333,221.87,129,1.719922481,33199,6.683032621
9/20/2011,4/25/2017,Full Swag - Start 2017,inactive,78,actions:offsite_conversion.fb_pixel_purchase,1561,3.917435897,305.56,459,0.665708061,16828,18.15783218
9/20/2011,4/25/2017,Full Swag - Start 2017,inactive,20,actions:offsite_conversion.fb_pixel_purchase,19988,11.0915,221.83,162,1.369320988,27953,7.935820842
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,4,actions:offsite_conversion.fb_pixel_purchase,7083,33.5025,134.01,53,2.528490566,10026,13.36624776
9/20/2011,4/25/2017,Full Swag - Start 2017,inactive,31,actions:offsite_conversion.fb_pixel_purchase,10912,7.152258065,221.72,229,0.968209607,20818,10.65039869
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,2,actions:offsite_conversion.fb_pixel_purchase,8270,59.76,119.52,8,14.94,11586,10.3158985
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,4,actions:offsite_conversion.fb_pixel_purchase,4598,33.5325,134.13,20,6.7065,8058,16.64556962
9/20/2011,4/25/2017,Full Swag - Start 2017,inactive,7,actions:offsite_conversion.fb_pixel_purchase,5006,27.84142857,194.89,61,3.194918033,12871,15.14179162
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,10,actions:offsite_conversion.fb_pixel_purchase,1419,10.9,109,52,2.096153846,3972,27.44209466
9/20/2011,4/25/2017,Full Swag - Resolution,inactive,2,actions:offsite_conversion.fb_pixel_purchase,4459,66.87,133.74,40,3.3435,8506,15.72301905
9/20/2011,4/25/2017,Full Swag - Start 2017,inactive,31,actions:offsite_conversion.fb_pixel_purchase,12044,7.162580645,222.04,302,0.735231788,22412,9.907192575
9/20/2011,4/25/2017,Medal Swag - Holiday Cheer,inactive,3,actions:offsite_conversion.fb_pixel_purchase,1380,9.97,29.91,18,1.661666667,1538,19.4473342
9/20/2011,4/25/2017,Medal Swag - Holiday Cheer,inactive,46,actions:offsite_conversion.fb_pixel_purchase,25128,6.887608696,316.83,330,0.960090909,30344,10.4412734
9/20/2011,4/25/2017,Medal Swag - Holiday Cheer,inactive,28,actions:offsite_conversion.fb_pixel_purchase,21068,7.774285714,217.68,216,1.007777778,25233,8.62679824
9/20/2011,4/25/2017,Medal Swag - Holiday Cheer,inactive,46,actions:offsite_conversion.fb_pixel_purchase,21443,6.237391304,286.92,343,0.836501458,27392,10.47459112
9/20/2011,4/25/2017,Medal Swag - Holiday Cheer,inactive,38,actions:offsite_conversion.fb_pixel_purchase,30096,7.579736842,288.03,277,1.039819495,41225,6.986779867
9/20/2011,4/25/2017,Medal Swag - Holiday Cheer,inactive,67,actions:offsite_conversion.fb_pixel_purchase,19788,5.557313433,372.34,539,0.690797774,32074,11.6087797
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,2,actions:offsite_conversion.fb_pixel_purchase,363,5.455,10.91,11,0.991818182,366,29.80874317
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,1,actions:offsite_conversion.fb_pixel_purchase,375,10.5,10.5,6,1.75,381,27.55905512
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,,,1307,,26.83,14,1.916428571,1316,20.38753799
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,2,actions:offsite_conversion.fb_pixel_purchase,2872,40.32,80.64,30,2.688,2898,27.82608696
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,,,1098,,18.72,20,0.936,1107,16.91056911
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,2,actions:offsite_conversion.fb_pixel_purchase,1299,13.485,26.97,21,1.284285714,1311,20.57208238
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,4,actions:offsite_conversion.fb_pixel_purchase,803,3.66,14.64,22,0.665454545,808,18.11881188
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,,,486,,10.38,9,1.153333333,491,21.14052953
9/20/2011,4/25/2017,Full Swag - Holiday Cheer,inactive,3,actions:offsite_conversion.fb_pixel_purchase,3479,22.10333333,66.31,41,1.617317073,4711,14.07556782
9/20/2011,4/25/2017,"Post: ""Our next event, the CoffeeTime Run is set to...""",inactive,206,actions:post_engagement,1804,0.056699029,11.68,47,0.248510638,1824,6.403508772
9/20/2011,4/25/2017,"Post: ""Behold... Our next medal, shipping by mail to...""",inactive,119,actions:post_engagement,1832,0.21,24.99,7,3.57,2003,12.47628557
9/20/2011,4/25/2017,Sawg - Last Chance,inactive,3,actions:offsite_conversion.fb_pixel_purchase,2509,18.27333333,54.82,3,18.27333333,2866,19.12770412
9/20/2011,4/25/2017,Medal - Last Chance - Image 1,inactive,1,actions:offsite_conversion.fb_pixel_purchase,2989,62.67,62.67,1,62.67,3262,19.21213979
9/20/2011,4/25/2017,Swag - Last Chance - Image 2,inactive,,,266,,10.35,,,294,35.20408163
9/20/2011,4/25/2017,Swag - Last Chance,inactive,,,485,,22.46,,,573,39.19720768
9/20/2011,4/25/2017,Swag - Last Chance,inactive,2,actions:offsite_conversion.fb_pixel_purchase,6382,35.375,70.75,2,35.375,7007,10.09704581
9/20/2011,4/25/2017,Swag - Last Chance,inactive,4,actions:offsite_conversion.fb_pixel_purchase,2134,18.8,75.2,4,18.8,3235,23.24574961
9/20/2011,4/25/2017,Swag - Last Chance 2,inactive,,,497,,14.57,,,550,26.49090909
9/20/2011,4/25/2017,Swag - Last Chance,inactive,,,747,,25.65,,,858,29.8951049
9/20/2011,4/25/2017,Swag - Last Chance,inactive,9,actions:offsite_conversion.fb_pixel_purchase,9294,9.904444444,89.14,9,9.904444444,10427,8.548959432
9/20/2011,4/25/2017,"Post: ""In honor of National Coffee Day, check out this...""",inactive,1353,actions:video_view,3725,0.018477458,25,,,3803,6.57375756
9/20/2011,4/25/2017,Post: /fitfamhq/posts/1056871417701244 to fans and their friends,inactive,11,actions:link_click,2699,1.818181818,20,,,2749,7.275372863
9/20/2011,4/25/2017,Emoji Run - charity + swag 2,inactive,2,actions:offsite_conversion.fb_pixel_purchase,4083,37.695,75.39,2,37.695,5821,12.95138292
9/20/2011,4/25/2017,Emoji Run - charity + swag,inactive,,,1269,,21.91,,,1987,11.02667338
9/20/2011,4/25/2017,Post: /gametiime/posts/945089112212809 to fans and their friends,inactive,96,actions:post_engagement,3440,0.208333333,20,,,3924,5.096839959
9/20/2011,4/25/2017,thefitfamchallenge.com - Website Conversions -  Commit to fit,inactive,1,actions:offsite_conversion.fb_pixel_purchase,1351,22.2,22.2,1,22.2,1525,14.55737705
9/20/2011,4/25/2017,thepuppyrun.com - Website Clicks - Image 2,inactive,92,actions:link_click,3140,0.248369565,22.85,3,7.616666667,3326,6.870114251
9/20/2011,4/25/2017,thepuppyrun.com - Website Clicks - Image 1,inactive,5,actions:link_click,250,0.406,2.03,1,2.03,259,7.837837838
9/20/2011,4/25/2017,Post: /gametiime/posts/669691879752535 to others,inactive,,,1006,,2.91,,,1009,2.884043608
9/20/2011,4/25/2017,Post: /gametiime/posts/669691879752535 to fans,inactive,16,actions:post_engagement,337,0.130625,2.09,,,344,6.075581395
9/20/2011,4/25/2017,Gametiime - Page Likes,inactive,23,actions:like,842,0.452608696,10.41,,,887,11.7361894
9/20/2011,4/25/2017,Gametiime - Page Likes,inactive,28,actions:like,592,0.321428571,9,,,609,14.77832512
9/20/2011,4/25/2017,Gametiime - Page Likes,inactive,30,actions:like,1186,0.508333333,15.25,,,1245,12.24899598
9/20/2011,4/25/2017,Gametiime - Page Likes,inactive,7,actions:like,294,0.481428571,3.37,,,319,10.56426332
9/20/2011,4/25/2017,Gametiime - Page Likes,inactive,1614,actions:like,31632,0.355198265,573.29,,,52978,10.82128431
9/20/2011,4/25/2017,Post: /gametiime/posts/625248570863533 to friends of fans,inactive,46,actions:post_engagement,9868,0.599565217,27.58,,,10605,2.600660066
9/20/2011,4/25/2017,Post: /gametiime/posts/625248570863533 to fans,inactive,344,actions:post_engagement,1276,0.065174419,22.42,,,2706,8.285291944
9/20/2011,4/25/2017,Post: /gametiime/posts/622229141165476 to fans,inactive,116,actions:post_engagement,950,0.072413793,8.4,,,989,8.493427705
9/20/2011,4/25/2017,Post: /gametiime/posts/622229141165476 to friends of fans,inactive,16,actions:post_engagement,3224,0.725,11.6,,,3243,3.576934937
9/20/2011,4/25/2017,Post: /gametiime/posts/584590441596013 to fans,inactive,,,485,,2.64,,,496,5.322580645
9/20/2011,4/25/2017,Post: /gametiime/posts/584590441596013,inactive,,,141,,0.51,,,141,3.617021277
9/20/2011,4/25/2017,Post: /gametiime/posts/584590441596013 to friends of fans,inactive,,,1243,,1.85,,,1246,1.484751204
9/20/2011,4/25/2017,Post: /gametiime/posts/568015083253549 to fans,inactive,,,16,,0.25,,,17,14.70588235
9/20/2011,4/25/2017,Post: /gametiime/posts/568015083253549,inactive,,,13,,0.08,,,13,6.153846154
9/20/2011,4/25/2017,Post: /gametiime/posts/568015083253549 to others,inactive,,,8806,,29.67,,,8901,3.333333333
9/20/2011,4/25/2017,Promoting /gametiime/posts/559153197473071 to others,inactive,,,3279,,11.29,,,3292,3.429526124
9/20/2011,4/25/2017,Promoting /gametiime/posts/559153197473071 to fans,inactive,,,495,,3.55,,,509,6.974459725
9/20/2011,4/25/2017,Sponsored stories for /gametiime/posts/559153197473071,inactive,,,24,,0.16,,,24,6.666666667
9/20/2011,4/25/2017,Sponsored stories for /gametiime/posts/558788920842832,inactive,,,195,,0.61,,,195,3.128205128
9/20/2011,4/25/2017,Promoting /gametiime/posts/558788920842832 to friends of fans,inactive,,,638,,2.6,,,640,4.0625
9/20/2011,4/25/2017,Promoting /gametiime/posts/558788920842832 to fans,inactive,,,338,,1.79,,,344,5.203488372
9/20/2011,4/25/2017,Promoting /gogametiime/posts/537961426258915 to friends of fans,inactive,,,1998,,8.08,,,2013,4.013909588
9/20/2011,4/25/2017,Promoting /gogametiime/posts/537961426258915 to fans,inactive,,,281,,1.69,,,283,5.971731449
9/20/2011,4/25/2017,Sponsored stories for /gogametiime/posts/537961426258915,inactive,,,71,,0.23,,,71,3.23943662
9/20/2011,4/25/2017,Promoting /gogametiime/posts/537866222935102 to friends of fans,inactive,,,11869,,26.11,,,12299,2.122936824
9/20/2011,4/25/2017,Promoting /gogametiime/posts/537866222935102 to fans,inactive,,,552,,3.89,,,567,6.860670194
9/20/2011,4/25/2017,Promoting /gogametiime/posts/519950914726633 to others,inactive,,,6553,,22.31,,,6695,3.332337565
9/20/2011,4/25/2017,Promoting /gogametiime/posts/519950914726633 to fans,inactive,,,59,,0.34,,,59,5.762711864
9/20/2011,4/25/2017,Sponsored stories for /gogametiime/posts/519950914726633,inactive,,,43,,0.17,,,43,3.953488372
9/20/2011,4/25/2017,Sponsored stories for /gogametiime/posts/498243453564046,inactive,,,31,,0.06,,,31,1.935483871
9/20/2011,4/25/2017,Promoting /gogametiime/posts/498243453564046 to others,inactive,,,6104,,19.84,,,6141,3.230744178
9/20/2011,4/25/2017,Promoting /gogametiime/posts/498243453564046 to fans,inactive,,,19,,0.1,,,19,5.263157895
9/20/2011,4/25/2017,Gametiime - Likes - Sponsored Stories,inactive,,,59896,,1134.78,,,337280,3.364504269
9/20/2011,4/25/2017,Whitehurst,inactive,,,0,,50,,,193889,0.257879508
9/20/2011,4/25/2017,Flag Football Tourney!,inactive,,,0,,44.53,,,151139,0.294629447
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,,,629,,12.5,2,6.25,645,19.37984496
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,4,actions:offsite_conversion.fb_pixel_purchase,1571,6.04,24.16,46,0.525217391,1623,14.88601356
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,10,actions:offsite_conversion.fb_pixel_purchase,6322,5.666,56.66,74,0.765675676,6529,8.678204932
9/20/2011,4/25/2017,Full Swag - Holiday Cheer,inactive,13,actions:offsite_conversion.fb_pixel_purchase,9676,8.771538462,114.03,53,2.151509434,10410,10.95389049
9/20/2011,4/25/2017,Medal - Toystore - Holiday Cheer,inactive,101,actions:offsite_conversion.fb_pixel_purchase,60032,5.796732673,585.47,161,3.636459627,77334,7.570667494
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,7,actions:offsite_conversion.fb_pixel_purchase,1519,3.364285714,23.55,39,0.603846154,1571,14.99045194
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,9,actions:offsite_conversion.fb_pixel_purchase,5734,6.256666667,56.31,48,1.173125,5904,9.537601626
9/20/2011,4/25/2017,Full Swag - Holiday Cheer,inactive,34,actions:offsite_conversion.fb_pixel_purchase,13404,3.378235294,114.86,64,1.7946875,14094,8.149567192
9/20/2011,4/25/2017,Medal - Toystore - Holiday Cheer,inactive,76,actions:offsite_conversion.fb_pixel_purchase,78528,8.0375,610.85,110,5.553181818,97633,6.25659357
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,10,actions:offsite_conversion.fb_pixel_purchase,2587,4.326,43.26,93,0.46516129,2707,15.98079054
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,17,actions:offsite_conversion.fb_pixel_purchase,12212,7.264117647,123.49,138,0.894855072,12642,9.768232875
9/20/2011,4/25/2017,Full Swag - Holiday Cheer,inactive,6,actions:offsite_conversion.fb_pixel_purchase,5528,11.23166667,67.39,17,3.964117647,6093,11.06023305
9/20/2011,4/25/2017,Medal - Toystore - Holiday Cheer,inactive,19,actions:offsite_conversion.fb_pixel_purchase,15032,6.626315789,125.9,35,3.597142857,16327,7.711153304
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,4,actions:offsite_conversion.fb_pixel_purchase,2558,12.175,48.7,79,0.616455696,2635,18.48197343
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,13,actions:offsite_conversion.fb_pixel_purchase,9012,8.36,108.68,92,1.181304348,9368,11.60119556
9/20/2011,4/25/2017,Full Swag - Holiday Cheer,inactive,32,actions:offsite_conversion.fb_pixel_purchase,21860,6.9840625,223.49,81,2.759135802,23821,9.382057848
9/20/2011,4/25/2017,Medal - Toystore - Holiday Cheer,inactive,51,actions:offsite_conversion.fb_pixel_purchase,51587,9.21254902,469.84,85,5.527529412,68249,6.884203432
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,8,actions:offsite_conversion.fb_pixel_purchase,2465,6.36875,50.95,98,0.519897959,2581,19.74041069
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,25,actions:offsite_conversion.fb_pixel_purchase,7934,4.3828,109.57,208,0.526778846,8669,12.63928942
9/20/2011,4/25/2017,Full Swag - Holiday Cheer,inactive,37,actions:offsite_conversion.fb_pixel_purchase,15000,4.576756757,169.34,120,1.411166667,18909,8.955523825
9/20/2011,4/25/2017,Medal - Toystore - Holiday Cheer,inactive,129,actions:offsite_conversion.fb_pixel_purchase,29080,3.627209302,467.91,200,2.33955,56440,8.290396882
9/20/2011,4/25/2017,Medal Swag - Holiday Cheer,inactive,6,actions:offsite_conversion.fb_pixel_purchase,2857,10.81333333,64.88,29,2.237241379,3201,20.26866604
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,,,773,,26.11,7,3.73,857,30.46674446
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,4,actions:offsite_conversion.fb_pixel_purchase,838,3.535,14.14,20,0.707,858,16.48018648
9/20/2011,4/25/2017,Full Swag - Black Friday 2,inactive,,,557,,14.97,5,2.994,561,26.68449198
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,13,actions:offsite_conversion.fb_pixel_purchase,4940,7.351538462,95.57,60,1.592833333,6350,15.0503937
9/20/2011,4/25/2017,Full Swag - Holiday Cheer,inactive,4,actions:offsite_conversion.fb_pixel_purchase,3216,17.0525,68.21,12,5.684166667,3992,17.08667335
9/20/2011,4/25/2017,Medal - Toystore - Holiday Cheer,inactive,21,actions:offsite_conversion.fb_pixel_purchase,7220,7.543333333,158.41,23,6.887391304,12151,13.0367871
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,3,actions:offsite_conversion.fb_pixel_purchase,2762,18.14666667,54.44,34,1.601176471,3276,16.61782662
9/20/2011,4/25/2017,Full Swag - Holiday Cheer,inactive,6,actions:offsite_conversion.fb_pixel_purchase,4421,19.03166667,114.19,9,12.68777778,7632,14.9620021
9/20/2011,4/25/2017,Medal - Toystore - Holiday Cheer,inactive,55,actions:offsite_conversion.fb_pixel_purchase,8070,7.021636364,386.19,81,4.767777778,32992,11.70556499
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,4,actions:offsite_conversion.fb_pixel_purchase,3061,17.4575,69.83,13,5.371538462,3481,20.06032749
9/20/2011,4/25/2017,Dream Package - Full Swag,inactive,72,actions:offsite_conversion.fb_pixel_purchase,10735,7.676944444,552.74,72,7.676944444,41949,13.1764762
9/20/2011,4/25/2017,Early-Bird Close - Full Swag,inactive,11,actions:offsite_conversion.fb_pixel_purchase,1736,2.156363636,23.72,11,2.156363636,1886,12.57688229
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,,,2162,,45.58,3,15.19333333,2201,20.70876874
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,,,2209,,34.83,6,5.805,2241,15.54216867
9/20/2011,4/25/2017,Full Swag - Black Friday,inactive,3,actions:offsite_conversion.fb_pixel_purchase,2330,15.69666667,47.09,22,2.140454545,2399,19.62901209
